gene,posterior_mean,posterior_sd,ci95_low,ci95_high,post_prob_positive,tau2,n_cohorts,posterior_abs_mean
FCGR3B,0.7442289685140254,0.06709439457886272,0.6127239551394545,0.8757339818885963,1.0,0.006008630760803612,3,0.7442289685140254
HP,0.737900807177,0.06184596004282355,0.6166827254930659,0.8591188888609341,1.0,0.004008812783684909,3,0.737900807177
ACSL1,0.6622723957954485,0.049507377148833714,0.5652379365837344,0.7593068550071626,1.0,0.0,3,0.6622723957954485
ANXA5,0.5843872632465374,0.049507377148833714,0.4873528040348234,0.6814217224582515,1.0,0.0,3,0.5843872632465374
SERINC2,0.5671026075744904,0.049507377148833714,0.47006814836277633,0.6641370667862044,1.0,0.0,3,0.5671026075744904
F5,0.5558784034235636,0.049507377148833714,0.4588439442118496,0.6529128626352777,1.0,0.0,3,0.5558784034235636
TNFSF14,0.5091153804555503,0.05602903736952209,0.399298467211287,0.6189322936998136,1.0,0.0019959637263975527,3,0.5091153804555503
CD1D,0.5002808238299675,0.049507377148833714,0.40324636461825347,0.5973152830416816,1.0,0.0,3,0.5002808238299675
TNFSF13,0.49970497028739463,0.050430267996123275,0.400861645014993,0.5985482955597963,1.0,0.00026535332821071183,3,0.49970497028739463
IL6R,0.4983625118622535,0.055083470971255835,0.39039890875859207,0.6063261149659149,1.0,0.0016892909349492335,3,0.4983625118622535
CCR1,0.4803499502124287,0.05393261901330531,0.3746420169463503,0.5860578834785071,1.0,0.0013238781210735764,3,0.4803499502124287
RNF31,0.43695472918334455,0.049507377148833714,0.3399202699716305,0.5339891883950586,1.0,0.0,3,0.43695472918334455
SLC22A16,0.4340691107676773,0.050481425192341986,0.33512551739068697,0.5330127041446676,1.0,0.00028022920672955324,3,0.4340691107676773
FKBP9,0.43322904371452803,0.049507377148833714,0.3361945845028139,0.5302635029262421,1.0,0.0,3,0.43322904371452803
SLC36A1,0.4234330098325141,0.049507377148833714,0.32639855062080003,0.5204674690442281,1.0,0.0,3,0.4234330098325141
ITM2B,0.4207313424967957,0.049507377148833714,0.3236968832850816,0.5177658017085098,1.0,0.0,3,0.4207313424967957
CDCA5,0.4317253607638638,0.05306404334302697,0.32771983581153097,0.5357308857161966,0.9999999999999998,0.0010538224849284687,3,0.4317253607638638
KCNQ1,0.6287826694973686,0.07844421630748992,0.4750320055346884,0.7825333334600488,0.9999999999999994,0.01091817705219039,3,0.6287826694973686
PADI6,0.5211666332499433,0.0655319110703978,0.3927240875519636,0.649609178947923,0.9999999999999991,0.00539523493058634,3,0.5211666332499433
CYP4F3,0.3708928823775715,0.049507377148833714,0.2738584231658574,0.4679273415892856,0.999999999999966,0.0,3,0.3708928823775715
ZFP36,0.6369223882130077,0.08515549923520732,0.47001760971200135,0.8038271667140141,0.9999999999999627,0.014193184600673862,3,0.6369223882130077
NLN,0.4748657576136223,0.06398726059053068,0.34945072685618217,0.6002807883710625,0.999999999999942,0.004803845998074137,3,0.4748657576136223
EPOR,0.43449939445720204,0.05903981007560213,0.31878136670902185,0.5502174222053822,0.9999999999999076,0.0030108239352652296,3,0.43449939445720204
CLMN,0.5174433474419324,0.07225560906516643,0.37582235367420624,0.6590643412096586,0.9999999999996003,0.008142658664530962,3,0.5174433474419324
FN3K,0.3537949676313407,0.049507377148833714,0.2567605084196266,0.4508294268430548,0.9999999999995544,0.0,3,0.3537949676313407
PROK2,0.35084361677914744,0.049507377148833714,0.2538091575674334,0.4478780759908615,0.9999999999993132,0.0,3,0.35084361677914744
THNSL2,0.41699038046382025,0.05909557853168158,0.3011630465417244,0.5328177143859162,0.9999999999991445,0.0030301699947858363,3,0.41699038046382025
MARCKS,0.46129310582413374,0.06574568764836244,0.33243155803334334,0.5901546536149241,0.9999999999988611,0.005478258610737468,3,0.46129310582413374
PFKFB3,0.647723399834944,0.0924201979258511,0.46657981190027586,0.8288669877696121,0.9999999999987952,0.018047352149066474,3,0.647723399834944
PPP1R9B,0.3443412530284342,0.049507377148833714,0.24730679381672013,0.44137571224014827,0.9999999999982416,0.0,3,0.3443412530284342
