feature,model_type,n_samples,n_subjects,intercept,month_coef,progressor_coef,interaction_coef,month_pvalue,progressor_pvalue,interaction_pvalue,interaction_ci_low,interaction_ci_high,aic,interaction_fdr_bh,feature_group
vascular_proxy5,ols_cluster_subject,248,107,-0.025410285722003698,-0.004443377061173831,0.3718651732078575,-0.021751502096191186,0.44309571843549134,0.0013424879332496686,0.009186209397026227,-0.03811672980274049,-0.005386274389641881,428.29989736532696,0.05872893254368254,program
remap_myeloid5,ols_cluster_subject,248,107,-0.2582009390328922,0.014198503072598623,0.6804314552633826,-0.029506140421619954,0.011798697531242668,6.938045277804892e-06,0.012507036013888617,-0.05266162966100954,-0.006350651182230365,489.8201149501342,0.05872893254368254,program
Neutrophil,ols_cluster_subject,248,107,0.12142325233008866,0.002561186496313842,0.03950944585150239,-0.0025615938307912032,1.529735864775587e-06,0.0039218695236325355,0.017710417108443306,-0.004678559052796825,-0.0004446286087855817,-628.0694794190232,0.05872893254368254,program
Platelet,ols_cluster_subject,248,107,0.13064557871885848,0.0001473202577684221,-0.009625080726372201,0.0035447200786856547,0.7908143482183182,0.6115395340565025,0.01957631084789418,0.0005685333102482598,0.00652090684712305,-578.9293003867059,0.05872893254368254,program
module_M6_proxy,mixedlm_random_intercept,248,107,-0.028172614128161997,0.00043532618087985193,0.27000905931958596,-0.02218902718759175,0.9391532333195312,0.030066838073374576,0.03658149479533852,-0.04299346852847495,-0.0013845858467085512,417.0794215376177,0.08779558750881246,program
signature25_proxy,ols_cluster_subject,248,107,0.05647181550271688,-0.006638667811355241,0.12554501957043304,-0.0123356707050394,0.16769831844156036,0.18931222601424125,0.11634957054925783,-0.02773256989959024,0.003061228489511441,331.81340436360176,0.23269914109851567,program
bayesian_core8,ols_cluster_subject,248,107,-0.15364073006584433,0.004342869585024369,0.5089058059329352,-0.017844099510090812,0.4398734920382168,0.002275723261996173,0.1815962037797424,-0.04402490123828994,0.008336702218108318,535.8199570054086,0.3113077779081298,program
NK_cell,mixedlm_random_intercept,248,107,0.15749629500979717,-0.0009777255367983634,-0.01198430002544953,-0.0007956204539390107,0.041863135202107694,0.3937044544057935,0.3701665880765733,-0.0025356948426506253,0.0009444539347726042,-729.1112980175096,0.5365375507525054,program
module_M5_proxy,ols_cluster_subject,248,107,0.18007759631837683,-0.015137196728521905,-0.04429140985413048,-0.00969692534877425,0.00543809021691243,0.7269104432218754,0.40240316306437907,-0.03239462565406298,0.01300077495651448,444.50678063783295,0.5365375507525054,program
T_cell,ols_cluster_subject,248,107,0.22006033857082238,-0.0005340862944009757,-0.012485838078552362,-0.0008388332840397586,0.28933208329935256,0.3485354869230277,0.4941819203529668,-0.0032436144497424626,0.0015659478816629456,-707.1902360220814,0.5930183044235602,program
Monocyte,ols_cluster_subject,248,107,0.14144814488723362,0.0008303518898805799,0.0321658229365572,-0.0003374815349425895,0.05327207229199026,0.0016104397318339296,0.7416115337579509,-0.0023435825802181585,0.0016686195103329795,-756.1794885495816,0.8090307640995827,program
B_cell,mixedlm_random_intercept,248,107,0.22654381109658075,-0.0012807009582845338,-0.029626792831582646,0.00022522968479280807,0.024730623322330288,0.054317044692226375,0.8313224766285257,-0.0018472123383112139,0.00229767170789683,-663.4713875435234,0.8313224766285257,program
