progressor,timepoint_label,signature25_proxy,bayesian_core8,remap_myeloid5,vascular_proxy5,module_M6_proxy,module_M5_proxy,Monocyte,Neutrophil,Platelet,T_cell,B_cell,NK_cell
0,DAY0,-0.05405984489568912,-0.27004537606033285,-0.3592129485728342,-0.16834488358088456,-0.1764170733972957,0.15575086402106575,0.13863684807699844,0.11243481645428703,0.13472057721005673,0.2315217558555584,0.23273244796919287,0.1499535544339065
0,DAY180,0.027542320675402653,-0.002499556689872982,-0.11457651567458324,-0.11473172318314735,-0.03714779290482117,0.10926262491353485,0.15634405679538824,0.14665788841706842,0.12063394260978015,0.21113045365819458,0.22292642864773318,0.14230722987183544
0,DAY360,0.004420954597482617,0.09327371317613103,-0.040327271177063514,-0.013447002537774772,0.03201574036435217,0.03435868606400918,0.15002305551041933,0.15161286452353842,0.15462838658201658,0.2001762126481369,0.1996071627385164,0.1439523179973724
0,DAY540,-0.08965898838667666,-0.20311779366588764,-0.04667138846450204,-0.13912649676666428,-0.03051874077304651,-0.11565050707225946,0.1548654934360476,0.16496058789139378,0.12534848378607727,0.2190759968669309,0.20736487828588515,0.1283845597336653
0,OTHER,0.19053974231074092,-0.1303047885509229,-0.14304395291176447,0.19699568321459443,0.2013483530782427,0.16411651195416682,0.1406582626830173,0.13232649437747637,0.12448601980564186,0.21103992667326665,0.22112021658072017,0.17036907987987765
1,DAY0,0.060805887464673074,0.038991260885093325,-0.12364833940561494,0.1203521106808271,-0.03546023422585763,0.14288447931199186,0.15089959578196602,0.13313352639890264,0.11151381681523996,0.24648114962995513,0.22460679075383286,0.1333651206201034
1,DAY180,0.07542302450860158,0.5579150454412104,0.6050643088551199,0.3359052061539691,0.1335667569327022,-0.182378513206664,0.1969233665725653,0.18094502171785384,0.1493635778071722,0.1814854691790303,0.17668239144702472,0.11460017327635362
1,DAY360,-0.013877799774112224,0.4067091980088361,0.3229454470088265,0.05945403203366584,0.003939869857593037,-0.1300932665660716,0.18351980952488278,0.17534964827183502,0.1680328700762512,0.18542455790265533,0.1731316781771421,0.11454143604723355
1,DAY540,-0.1867044500339103,-0.10858066983349471,0.005540520308612571,-0.18629724466448752,-0.20730225785949888,-0.291926750895411,0.17416337698310397,0.14557328123939495,0.18386066792252684,0.19228373567018026,0.18460762177524584,0.11951131640954818
1,IC,-0.10714781077559504,0.059174042504211155,0.10402838790254562,0.06261574210917716,-0.07766761915636959,-0.20566072975657226,0.17032099616089805,0.15955202942194252,0.18095761589173337,0.20071401042915774,0.16750015958938405,0.12095518850688425
1,OTHER,0.1875088453927493,0.1478830294624231,0.3921822375033657,0.27744433779498157,0.34175967349605896,0.21529822733450854,0.16664086988166638,0.15083898710024518,0.12533497114470818,0.20401867707117474,0.1880049920303411,0.1651615027718644
