progressor,timepoint_label,n_samples,mean_signature_score,median_signature_score
0,DAY0,40,-0.05405984489568912,-0.013287216538842047
0,DAY180,28,0.027542320675402653,0.07626794797732378
0,DAY360,29,0.004420954597482617,-0.022133823745872777
0,DAY540,39,-0.08965898838667666,-0.21472183133944375
0,OTHER,30,0.19053974231074092,0.1628797969187573
1,DAY0,7,0.060805887464673074,-0.12870613512943907
1,DAY180,18,0.07542302450860158,0.025864152679802875
1,DAY360,21,-0.013877799774112224,-0.06136203007605587
1,DAY540,20,-0.1867044500339103,-0.27436371206709365
1,IC,16,-0.10714781077559504,-0.21302389477898304
1,OTHER,16,0.1875088453927493,0.22287635484460339
