module,gene,intramodular_connectivity
M5,ZBTB1,28.691642857341847
M5,UBP1,25.979712325266583
M5,ZBTB11,25.530116447603014
M5,TPP2,24.49648747259524
M5,SACM1L,24.493571647306375
M5,CEP57,24.193031239662687
M5,WWP1,23.56422085079239
M5,EDEM3,23.35097191824564
M5,USP1,23.2327995810181
M5,STAG2,22.26480663414068
M6,VASP,20.89407027512437
M6,PLEKHO2,20.64159377704084
M6,PFKFB4,18.74832589370453
M6,GNAI2,18.256374188701294
M6,S100A11,18.022134822600407
M6,BCL3,17.912891672572677
M6,PDLIM7,17.48772251875406
M6,XPO6,17.105789197830582
M6,DOK3,16.861166271530323
M6,AGTRAP,16.786777449428882
